Region,Year,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Guanacaste,2013,Primera Grande,5,0,3,67,2,64,0,0,258,0,0,3,401
Guanacaste,2013,Primera Pequena,10534,16063,11789,14837,17100,16532,9027,20163,7998,9437,12406,11233,157120
Guanacaste,2013,Clasificado,3985,4729,4128,4953,4015,4200,9246,6737,3742,1823,2242,1552,51352
Guanacaste,2013,Chatarra,6797,6098,6432,7983,5087,4720,5902,10148,4388,6893,3209,3007,70665
Guanacaste,2013,Agria Cola,25,2175,796,109,99,1,1662,295,15,28,378,23,5606
Guanacaste,2013,Cabrilla,778,4786,1864,3942,790,497,1160,992,1683,656,107,294,17549
Guanacaste,2013,Pargo,172,13,196,318,28,62,1294,1101,170,783,810,96,5043
Guanacaste,2013,Pargo Seda,7535,8247,7629,9052,11278,9943,10933,8543,3515,3511,1742,959,82887
Guanacaste,2013,Dorado,123146,48740,15787,13984,18959,22779,40402,33397,13699,51857,273203,134852,790804
Guanacaste,2013,Marlin,75,54,137,0,1981,2733,1446,663,721,32,156,42,8038
Guanacaste,2013,Marlin Blanco,14142,5506,4737,11281,42180,51602,63196,25185,10484,13968,6784,4313,253379
Guanacaste,2013,Marlin Rosado,8317,3786,3964,5709,9993,7421,19456,17457,13209,14695,13716,12957,130682
Guanacaste,2013,Pez Vela,4240,2810,1913,3325,8694,11824,17452,8521,6517,5978,9172,6652,87098
Guanacaste,2013,Pez Espada,35386,29377,17613,58860,70885,101700,128640,87964,17731,30973,30603,94858,704591
Guanacaste,2013,Wahoo,152,53,12,67,506,290,159,122,20,316,90,314,2100
Guanacaste,2013,Sardina,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2013,Atun,43221,99757,62841,93919,104140,114914,73249,51580,34031,43147,56551,57912,835262
Guanacaste,2013,Ballyhoo,100,21,608,56,58,35,89,85,477,394,208,34,2162
Guanacaste,2013,Cazon,172559,51156,60609,41432,45730,47431,82881,58943,28778,80352,95345,55302,820520
Guanacaste,2013,Posta,47696,30335,45259,23381,41905,35853,32874,18708,4948,22289,31149,18111,352509
Guanacaste,2013,Maco,57,54,194,157,90,0,370,70,0,0,0,69,1060
Guanacaste,2013,Treacher,6205,3041,16572,4235,11160,8487,7439,7826,4532,3304,1435,4696,78930
Guanacaste,2013,Camaron Blanco,0,21,109,0,85,0,0,0,0,0,0,0,215
Guanacaste,2013,Camaron Cafe,0,0,264,0,0,0,0,0,0,0,0,10,275
Guanacaste,2013,Camaron Rosado,6506,5504,3221,1441,2124,5256,7926,8555,2318,2387,887,996,47123
Guanacaste,2013,Camaron Fidel,885,0,0,0,200,0,251,330,0,0,0,0,1666
Guanacaste,2013,Camaron Camello,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2013,Camaron Real,10905,3106,5193,32027,19597,18167,14376,21824,30436,12078,3507,3110,174327
Guanacaste,2013,Camaron Titi,0,0,0,0,22,0,0,0,0,0,0,0,22
Guanacaste,2013,Langostino,43343,0,0,50991,71560,167777,64770,43156,41575,22129,0,0,505301
Guanacaste,2013,Langosta Pacifica,270,380,483,351,1234,776,873,1472,367,689,1223,107,8225
Guanacaste,2013,Langosta Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
