scenario,gamma,alpha,lambda,effortcert
1,0.1,0.6,0.03,1
2,0.5,0.6,0.03,1
3,1,0.6,0.03,1
4,0.1,0.8,0.03,1
5,0.5,0.8,0.03,1
6,1,0.8,0.03,1
7,0.1,0.99,0.03,1
8,0.5,0.99,0.03,1
9,1,0.99,0.03,1
10,0.1,0.6,0.06,1
11,0.5,0.6,0.06,1
12,1,0.6,0.06,1
13,0.1,0.8,0.06,1
14,0.5,0.8,0.06,1
15,1,0.8,0.06,1
16,0.1,0.99,0.06,1
17,0.5,0.99,0.06,1
18,1,0.99,0.06,1
19,0.1,0.6,0.1,1
20,0.5,0.6,0.1,1
21,1,0.6,0.1,1
22,0.1,0.8,0.1,1
23,0.5,0.8,0.1,1
24,1,0.8,0.1,1
25,0.1,0.99,0.1,1
26,0.5,0.99,0.1,1
27,1,0.99,0.1,1
28,0.1,0.6,0.03,0.8
29,0.5,0.6,0.03,0.8
30,1,0.6,0.03,0.8
31,0.1,0.8,0.03,0.8
32,0.5,0.8,0.03,0.8
33,1,0.8,0.03,0.8
34,0.1,0.99,0.03,0.8
35,0.5,0.99,0.03,0.8
36,1,0.99,0.03,0.8
37,0.1,0.6,0.06,0.8
38,0.5,0.6,0.06,0.8
39,1,0.6,0.06,0.8
40,0.1,0.8,0.06,0.8
41,0.5,0.8,0.06,0.8
42,1,0.8,0.06,0.8
43,0.1,0.99,0.06,0.8
44,0.5,0.99,0.06,0.8
45,1,0.99,0.06,0.8
46,0.1,0.6,0.1,0.8
47,0.5,0.6,0.1,0.8
48,1,0.6,0.1,0.8
49,0.1,0.8,0.1,0.8
50,0.5,0.8,0.1,0.8
51,1,0.8,0.1,0.8
52,0.1,0.99,0.1,0.8
53,0.5,0.99,0.1,0.8
54,1,0.99,0.1,0.8
55,0.1,0.6,0.03,0.7
56,0.5,0.6,0.03,0.7
57,1,0.6,0.03,0.7
58,0.1,0.8,0.03,0.7
59,0.5,0.8,0.03,0.7
60,1,0.8,0.03,0.7
61,0.1,0.99,0.03,0.7
62,0.5,0.99,0.03,0.7
63,1,0.99,0.03,0.7
64,0.1,0.6,0.06,0.7
65,0.5,0.6,0.06,0.7
66,1,0.6,0.06,0.7
67,0.1,0.8,0.06,0.7
68,0.5,0.8,0.06,0.7
69,1,0.8,0.06,0.7
70,0.1,0.99,0.06,0.7
71,0.5,0.99,0.06,0.7
72,1,0.99,0.06,0.7
73,0.1,0.6,0.1,0.7
74,0.5,0.6,0.1,0.7
75,1,0.6,0.1,0.7
76,0.1,0.8,0.1,0.7
77,0.5,0.8,0.1,0.7
78,1,0.8,0.1,0.7
79,0.1,0.99,0.1,0.7
80,0.5,0.99,0.1,0.7
81,1,0.99,0.1,0.7
82,0.1,0.6,0.03,0.5
83,0.5,0.6,0.03,0.5
84,1,0.6,0.03,0.5
85,0.1,0.8,0.03,0.5
86,0.5,0.8,0.03,0.5
87,1,0.8,0.03,0.5
88,0.1,0.99,0.03,0.5
89,0.5,0.99,0.03,0.5
90,1,0.99,0.03,0.5
91,0.1,0.6,0.06,0.5
92,0.5,0.6,0.06,0.5
93,1,0.6,0.06,0.5
94,0.1,0.8,0.06,0.5
95,0.5,0.8,0.06,0.5
96,1,0.8,0.06,0.5
97,0.1,0.99,0.06,0.5
98,0.5,0.99,0.06,0.5
99,1,0.99,0.06,0.5
100,0.1,0.6,0.1,0.5
101,0.5,0.6,0.1,0.5
102,1,0.6,0.1,0.5
103,0.1,0.8,0.1,0.5
104,0.5,0.8,0.1,0.5
105,1,0.8,0.1,0.5
106,0.1,0.99,0.1,0.5
107,0.5,0.99,0.1,0.5
108,1,0.99,0.1,0.5
