scenario,gamma,alpha,lambda,effortcert
1,0.1,0.99,0.06,0.5
2,0.15,0.99,0.06,0.5
3,0.2,0.99,0.06,0.5
4,0.25,0.99,0.06,0.5
5,0.3,0.99,0.06,0.5
6,0.35,0.99,0.06,0.5
7,0.4,0.99,0.06,0.5
8,0.45,0.99,0.06,0.5
9,0.5,0.99,0.06,0.5
10,0.55,0.99,0.06,0.5
11,0.6,0.99,0.06,0.5
12,0.65,0.99,0.06,0.5
13,0.7,0.99,0.06,0.5
14,0.75,0.99,0.06,0.5
15,0.8,0.99,0.06,0.5
16,0.85,0.99,0.06,0.5
17,0.9,0.99,0.06,0.5
18,0.95,0.99,0.06,0.5
19,1,0.99,0.06,0.5
20,0.1,0.99,0.06,0.55
21,0.15,0.99,0.06,0.55
22,0.2,0.99,0.06,0.55
23,0.25,0.99,0.06,0.55
24,0.3,0.99,0.06,0.55
25,0.35,0.99,0.06,0.55
26,0.4,0.99,0.06,0.55
27,0.45,0.99,0.06,0.55
28,0.5,0.99,0.06,0.55
29,0.55,0.99,0.06,0.55
30,0.6,0.99,0.06,0.55
31,0.65,0.99,0.06,0.55
32,0.7,0.99,0.06,0.55
33,0.75,0.99,0.06,0.55
34,0.8,0.99,0.06,0.55
35,0.85,0.99,0.06,0.55
36,0.9,0.99,0.06,0.55
37,0.95,0.99,0.06,0.55
38,1,0.99,0.06,0.55
39,0.1,0.99,0.06,0.6
40,0.15,0.99,0.06,0.6
41,0.2,0.99,0.06,0.6
42,0.25,0.99,0.06,0.6
43,0.3,0.99,0.06,0.6
44,0.35,0.99,0.06,0.6
45,0.4,0.99,0.06,0.6
46,0.45,0.99,0.06,0.6
47,0.5,0.99,0.06,0.6
48,0.55,0.99,0.06,0.6
49,0.6,0.99,0.06,0.6
50,0.65,0.99,0.06,0.6
51,0.7,0.99,0.06,0.6
52,0.75,0.99,0.06,0.6
53,0.8,0.99,0.06,0.6
54,0.85,0.99,0.06,0.6
55,0.9,0.99,0.06,0.6
56,0.95,0.99,0.06,0.6
57,1,0.99,0.06,0.6
58,0.1,0.99,0.06,0.65
59,0.15,0.99,0.06,0.65
60,0.2,0.99,0.06,0.65
61,0.25,0.99,0.06,0.65
62,0.3,0.99,0.06,0.65
63,0.35,0.99,0.06,0.65
64,0.4,0.99,0.06,0.65
65,0.45,0.99,0.06,0.65
66,0.5,0.99,0.06,0.65
67,0.55,0.99,0.06,0.65
68,0.6,0.99,0.06,0.65
69,0.65,0.99,0.06,0.65
70,0.7,0.99,0.06,0.65
71,0.75,0.99,0.06,0.65
72,0.8,0.99,0.06,0.65
73,0.85,0.99,0.06,0.65
74,0.9,0.99,0.06,0.65
75,0.95,0.99,0.06,0.65
76,1,0.99,0.06,0.65
77,0.1,0.99,0.06,0.7
78,0.15,0.99,0.06,0.7
79,0.2,0.99,0.06,0.7
80,0.25,0.99,0.06,0.7
